iter	Logloss
0	0.6532756719
1	0.6214697258
2	0.5947507549
3	0.5746523881
4	0.5592781993
5	0.5452234443
6	0.5347933958
7	0.5250495129
8	0.5178921318
9	0.5113142856
10	0.5064107558
11	0.5016218586
12	0.4969484277
13	0.4929908919
14	0.4898283567
15	0.4875695119
16	0.4852125287
17	0.4834808291
18	0.4811874993
19	0.4795586377
20	0.477595025
21	0.4762566414
22	0.4749250679
23	0.473481247
24	0.4721666502
25	0.4710570846
26	0.4698629255
27	0.4686313585
28	0.4676335534
29	0.4666715877
30	0.465972524
31	0.4651983553
32	0.464475913
33	0.4637190207
34	0.46299995
35	0.4621144881
36	0.4615527626
37	0.4609691511
38	0.4601880876
39	0.4595517796
40	0.4588541861
41	0.4581100092
42	0.457480433
43	0.4568477958
44	0.4562703566
45	0.4557836155
46	0.4553228248
47	0.4547975977
48	0.4544719735
49	0.4539311209
50	0.4533991032
51	0.4529469604
52	0.4525406712
53	0.4521786587
54	0.4518643078
55	0.4513819013
56	0.4508925315
57	0.4504401359
58	0.4500437408
59	0.4496070592
60	0.4492591958
61	0.4487897523
62	0.4484525203
63	0.4480546778
64	0.4475653642
65	0.4471841006
66	0.4467578688
67	0.4462902622
68	0.4458250832
69	0.4455612259
70	0.4453569639
71	0.4450220748
72	0.4447265785
73	0.4443579272
74	0.4437495705
75	0.4435041472
76	0.4432311402
77	0.4429133854
78	0.4425435037
79	0.4422209206
80	0.4420288527
81	0.4417669967
82	0.4414949364
83	0.4412480875
84	0.4409170397
85	0.4406505081
86	0.4401638384
87	0.4398480405
88	0.439640646
89	0.4393326453
90	0.4388596971
91	0.4386431589
92	0.4382907118
93	0.4378723415
94	0.4375103606
95	0.4372450901
96	0.4369204955
97	0.4366018951
98	0.4363875589
99	0.4361210598
100	0.4358076242
101	0.4355916586
102	0.4352559657
103	0.43505
104	0.4347699149
105	0.4344271829
106	0.4340589429
107	0.4337988925
108	0.4334371416
109	0.4332029645
110	0.432954704
111	0.4326094693
112	0.432379009
113	0.4320390401
114	0.431783319
115	0.4315450871
116	0.4312916562
117	0.4310324865
118	0.4307482045
119	0.4305076627
120	0.4302716238
121	0.4300080609
122	0.4297191075
123	0.4294926803
124	0.4291975543
125	0.4289989515
126	0.428774273
127	0.4284714075
128	0.4282138072
129	0.4278899624
130	0.4276814538
131	0.4274136131
132	0.4271739007
133	0.426952611
134	0.4266294822
135	0.42637529
136	0.4261695608
137	0.4258421156
138	0.4256321693
139	0.4254153285
140	0.425176142
141	0.4249558897
142	0.4247761359
143	0.4245829051
144	0.4243228517
145	0.424063194
146	0.4238101675
147	0.4236353601
148	0.4234378445
149	0.4231832068
150	0.4229108235
151	0.4227339669
152	0.4224264738
153	0.422192651
154	0.4219882879
155	0.4217920955
156	0.4215788666
157	0.4213582125
158	0.4211802813
159	0.4208823726
160	0.4207408776
161	0.4205671417
162	0.4203375572
163	0.4201032622
164	0.4199216602
165	0.4196694265
166	0.4193324341
167	0.4191490965
168	0.4189958512
169	0.4188046423
170	0.4185870967
171	0.4184300939
172	0.4182526999
173	0.4180919307
174	0.4179053489
175	0.4176721737
176	0.4173985372
177	0.4172112821
178	0.4169245837
179	0.4166422582
180	0.4164350933
181	0.4162635069
182	0.4160927313
183	0.4158667029
184	0.4156129489
185	0.4154102281
186	0.4152947916
187	0.4151494388
188	0.4148457249
189	0.4147203744
190	0.4145207048
191	0.4142867422
192	0.4141263367
193	0.4139392545
194	0.413723447
195	0.4135645003
196	0.4133672573
197	0.4131076891
198	0.41290056
199	0.4127218047
200	0.412434154
201	0.4122608937
202	0.4121280143
203	0.4119238213
204	0.4117099618
205	0.4114805056
206	0.4112681357
207	0.4110213145
208	0.4108080559
209	0.4106514593
210	0.4105323734
211	0.4103152492
212	0.4101618178
213	0.4099668561
214	0.4097432458
215	0.4094936624
216	0.4093132896
217	0.4090681926
218	0.4088762444
219	0.4087522504
220	0.4085454874
221	0.4083664796
222	0.4082436171
223	0.408105878
224	0.407997112
225	0.4077873958
226	0.4076703156
227	0.4075655506
228	0.4074399138
229	0.4072365276
230	0.4070381017
231	0.4068412591
232	0.4066630957
233	0.4065151726
234	0.4063213253
235	0.4061603489
236	0.4060404018
237	0.4058581246
238	0.405687914
239	0.4055828893
240	0.4054164532
241	0.4051466831
242	0.4049108809
243	0.4047108997
244	0.4044880084
245	0.404278649
246	0.4040937141
247	0.4039720347
248	0.4038296426
249	0.403636606
250	0.4034469607
251	0.4032581967
252	0.403088776
253	0.402947074
254	0.402797271
255	0.4025600355
256	0.40235834
257	0.4021346495
258	0.4020320196
259	0.4018810551
260	0.401752543
261	0.4015833304
262	0.4013944348
263	0.4012578383
264	0.4010746246
265	0.4009713518
266	0.4008554741
267	0.4006612895
268	0.4005436144
269	0.4003722264
270	0.4002527195
271	0.4001596981
272	0.39998609
273	0.3998187726
274	0.3996468112
275	0.3995057125
276	0.3993439573
277	0.3991765821
278	0.3989928726
279	0.398852277
280	0.3986440414
281	0.3985091733
282	0.3983073163
283	0.3981864703
284	0.3980416976
285	0.3978437898
286	0.3977018155
287	0.3975551718
288	0.3974411616
289	0.3973441764
290	0.3971396781
291	0.3969811908
292	0.3968646249
293	0.396680965
294	0.3965177865
295	0.3963838273
296	0.3963043217
297	0.3961280228
298	0.396012829
299	0.3959088988
300	0.3957389002
301	0.395591208
302	0.3953682995
303	0.3952098444
304	0.3950467064
305	0.3949209256
306	0.3947895343
307	0.3946795244
308	0.3945723345
309	0.3943848888
310	0.3942246464
311	0.3940513557
312	0.3939183255
313	0.3938320188
314	0.3936856193
315	0.3935297079
316	0.3934024075
317	0.393237596
318	0.3930813517
319	0.3929411722
320	0.3927482355
321	0.3926781194
322	0.3925317559
323	0.3923904711
324	0.3923018813
325	0.3921168013
326	0.3919869657
327	0.3918378508
328	0.3916765284
329	0.3915326479
330	0.3913961992
331	0.3912345455
332	0.3910850336
333	0.3909058726
334	0.3907676956
335	0.3905992966
336	0.3905188638
337	0.3903535714
338	0.3902065535
339	0.3900606433
340	0.3899566575
341	0.3897685742
342	0.3896536004
343	0.3894865849
344	0.3893418268
345	0.3892117377
346	0.3891123231
347	0.3890340932
348	0.388921615
349	0.3887473724
350	0.3886223508
351	0.3884502565
352	0.3882948249
353	0.3881918192
354	0.3880149248
355	0.3879307062
356	0.3877123438
357	0.3876068168
358	0.3874332157
359	0.3872605712
360	0.387183936
361	0.3870108174
362	0.3868751528
363	0.3867483887
364	0.3865914876
365	0.3864067503
366	0.3862965027
367	0.3861550944
368	0.3859925649
369	0.3858704401
370	0.3857478898
371	0.3855864934
372	0.3854382733
373	0.3853244169
374	0.3852196049
375	0.385090058
376	0.3849975187
377	0.3848847141
378	0.3847093078
379	0.3846110031
380	0.3844988269
381	0.3843651194
382	0.3842622708
