iter	Passed	Remaining
0	16	8361
1	31	7858
2	46	7728
3	61	7636
4	76	7524
5	91	7505
6	107	7578
7	127	7853
8	151	8256
9	204	10000
10	222	9890
11	240	9761
12	275	10323
13	308	10714
14	336	10871
15	367	11123
16	397	11294
17	415	11119
18	432	10959
19	450	10810
20	469	10707
21	487	10584
22	503	10450
23	520	10324
24	537	10206
25	552	10064
26	567	9942
27	583	9835
28	603	9797
29	621	9735
30	639	9670
31	654	9577
32	669	9469
33	687	9425
34	710	9436
35	730	9409
36	747	9349
37	764	9297
38	782	9245
39	802	9229
40	819	9178
41	837	9134
42	855	9088
43	870	9023
44	885	8953
45	899	8882
46	916	8829
47	932	8785
48	951	8757
49	968	8717
50	985	8673
51	1003	8642
52	1018	8589
53	1032	8529
54	1050	8498
55	1070	8490
56	1087	8448
57	1102	8399
58	1118	8357
59	1132	8302
60	1148	8266
61	1163	8218
62	1183	8207
63	1200	8175
64	1219	8163
65	1238	8141
66	1252	8093
67	1267	8053
68	1283	8017
69	1302	8000
70	1320	7976
71	1338	7954
72	1356	7933
73	1373	7907
74	1390	7881
75	1407	7853
76	1424	7825
77	1441	7801
78	1461	7786
79	1480	7774
80	1500	7761
81	1521	7756
82	1551	7797
83	1579	7824
84	1605	7837
85	1637	7884
86	1657	7867
87	1679	7862
88	1703	7868
89	1727	7869
90	1747	7854
91	1766	7836
92	1785	7813
93	1803	7791
94	1834	7821
95	1897	7985
96	1918	7972
97	1939	7956
98	1959	7936
99	1978	7913
100	1995	7882
101	2010	7844
102	2026	7811
103	2043	7779
104	2062	7759
105	2105	7825
106	2132	7834
107	2148	7798
108	2165	7767
109	2186	7750
110	2206	7732
111	2226	7713
112	2244	7685
113	2260	7653
114	2276	7621
115	2292	7589
116	2312	7569
117	2331	7547
118	2351	7528
119	2375	7522
120	2394	7501
121	2415	7482
122	2436	7468
123	2459	7456
124	2477	7433
125	2495	7407
126	2513	7381
127	2530	7353
128	2547	7327
129	2567	7307
130	2586	7285
131	2604	7260
132	2624	7242
133	2644	7223
134	2664	7204
135	2682	7179
136	2700	7155
137	2720	7135
138	2741	7118
139	2758	7093
140	2777	7072
141	2794	7046
142	2810	7017
143	2826	6986
144	2841	6957
145	2857	6927
146	2871	6895
147	2887	6867
148	2903	6840
149	2922	6819
150	2939	6795
151	2956	6767
152	2974	6746
153	2992	6723
154	3011	6702
155	3030	6683
156	3052	6667
157	3068	6641
158	3085	6616
159	3102	6592
160	3118	6565
161	3136	6544
162	3152	6518
163	3171	6496
164	3186	6469
165	3203	6445
166	3219	6420
167	3235	6393
168	3250	6366
169	3265	6338
170	3279	6309
171	3292	6279
172	3309	6256
173	3326	6232
174	3344	6211
175	3361	6188
176	3377	6162
177	3392	6136
178	3408	6111
179	3434	6105
180	3453	6087
181	3471	6066
182	3488	6042
183	3504	6019
184	3523	5999
185	3539	5975
186	3554	5950
187	3571	5927
188	3598	5921
189	3621	5909
190	3643	5895
191	3669	5886
192	3689	5869
193	3709	5851
194	3732	5837
195	3753	5822
196	3771	5801
197	3790	5782
198	3808	5760
199	3828	5742
200	3848	5725
201	3869	5708
202	3887	5688
203	3903	5664
204	3920	5642
205	3938	5621
206	3959	5604
207	3980	5588
208	4005	5576
209	4025	5558
210	4044	5539
211	4062	5519
212	4080	5497
213	4098	5477
214	4118	5459
215	4140	5443
216	4158	5423
217	4175	5400
218	4191	5378
219	4207	5355
220	4226	5335
221	4243	5313
222	4260	5292
223	4278	5271
224	4294	5248
225	4311	5226
226	4327	5204
227	4344	5182
228	4359	5159
229	4375	5136
230	4389	5111
231	4402	5085
232	4420	5065
233	4433	5039
234	4447	5015
235	4463	4993
236	4477	4969
237	4494	4947
238	4511	4926
239	4527	4905
240	4547	4886
241	4566	4868
242	4586	4851
243	4605	4832
244	4626	4815
245	4647	4798
246	4666	4779
247	4685	4760
248	4700	4738
249	4715	4715
250	4731	4693
251	4747	4671
252	4763	4650
253	4778	4628
254	4795	4607
255	4862	4634
256	4880	4614
257	4899	4595
258	4915	4573
259	4932	4552
260	4948	4531
261	4966	4511
262	4985	4492
263	5004	4473
264	5022	4454
265	5039	4433
266	5056	4412
267	5073	4392
268	5088	4369
269	5106	4349
270	5123	4329
271	5138	4307
272	5158	4289
273	5176	4269
274	5205	4259
275	5242	4254
276	5269	4241
277	5292	4226
278	5315	4210
279	5335	4192
280	5352	4171
281	5367	4149
282	5385	4129
283	5403	4109
284	5421	4090
285	5439	4070
286	5458	4051
287	5476	4031
288	5493	4010
289	5513	3992
290	5535	3975
291	5554	3956
292	5572	3937
293	5590	3917
294	5609	3898
295	5632	3882
296	5649	3861
297	5668	3842
298	5687	3823
299	5706	3804
300	5730	3788
301	5752	3771
302	5772	3753
303	5796	3736
304	5817	3719
